,support,itemsets
148,0.006119716963090457,"['phone', 'backup']"
38,0.006119716963090457,"['battery', 'backup']"
183,0.006119716963090457,"['build', 'quality']"
421,0.006119716963090457,"['sound', 'phone', 'camera']"
164,0.006024096385542169,"['battery', 'spee']"
444,0.006024096385542169,"['charge', 'price']"
395,0.006024096385542169,"['battery', 'performance', 'quality']"
121,0.006024096385542169,"['battery', 'phone', 'time']"
107,0.006024096385542169,"['sound', 'spee']"
320,0.006024096385542169,"['price', 'day']"
342,0.006024096385542169,"['battery', 'time', 'camera']"
43,0.006024096385542169,"['battery', 'performance', 'camera']"
295,0.00592847580799388,['user']
176,0.00592847580799388,['premium']
240,0.00592847580799388,"['phone', 'amazon']"
228,0.00592847580799388,['life']
256,0.00592847580799388,"['life', 'game']"
217,0.00592847580799388,['oneplu']
414,0.00592847580799388,"['oneplu', 'phone', 'price']"
17,0.00592847580799388,"['sound', 'speaker']"
174,0.00592847580799388,"['phone', 'beast']"
393,0.00592847580799388,"['life', 'battery', 'sound']"
468,0.00592847580799388,['week']
296,0.00592847580799388,['video']
117,0.00592847580799388,"['charge', 'day']"
364,0.00592847580799388,"['phone', 'premium']"
443,0.00592847580799388,"['battery', 'charge', 'camera']"
149,0.00592847580799388,"['phone', 'charge', 'camera']"
435,0.005832855230445592,"['screen', 'day']"
426,0.005832855230445592,"['sound', 'phone', 'picture']"
23,0.005832855230445592,"['sound', 'phone']"
66,0.005832855230445592,"['life', 'battery', 'oneplu']"
230,0.005832855230445592,"['oneplu', 'day']"
156,0.005832855230445592,"['mode', 'camera']"
497,0.005832855230445592,"['phone', 'month']"
311,0.005832855230445592,"['phone', 'issue']"
303,0.005832855230445592,"['life', 'phone', 'day']"
269,0.005832855230445592,"['battery', 'day', 'camera']"
474,0.005737234652897304,"['life', 'camera']"
433,0.005737234652897304,['gla']
432,0.005737234652897304,"['battery', 'phone', 'screen']"
376,0.005737234652897304,"['sale', 'phone']"
423,0.005737234652897304,"['battery', 'phone', 'usage']"
188,0.005737234652897304,"['phone', 'time']"
203,0.005737234652897304,"['performance', 'quality']"
211,0.005737234652897304,"['life', 'battery', 'month']"
380,0.005737234652897304,"['life', 'feature']"
357,0.005737234652897304,"['camera', 'phone', 'quality']"
257,0.005737234652897304,"['phone', 'use']"
238,0.005737234652897304,"['photo', 'quality']"
84,0.005737234652897304,['mobile']
115,0.005641614075349015,['screen']
271,0.005641614075349015,"['life', 'display']"
172,0.005641614075349015,"['day', 'camera']"
496,0.005641614075349015,"['range', 'phone', 'price']"
385,0.005641614075349015,"['experience', 'quality']"
200,0.005641614075349015,['ram']
252,0.005641614075349015,['smartphone']
470,0.005641614075349015,"['life', 'sound', 'quality']"
329,0.005641614075349015,['problem']
300,0.005641614075349015,"['picture', 'price']"
356,0.005641614075349015,['phone']
122,0.005545993497800727,['word']
105,0.005545993497800727,"['battery', 'phone', 'price']"
308,0.005545993497800727,"['battery', 'price', 'quality']"
283,0.005545993497800727,"['phone', 'charger']"
475,0.005545993497800727,"['battery', 'camera', 'feature']"
245,0.005545993497800727,['option']
358,0.005545993497800727,['mode']
449,0.005545993497800727,['device']
