,Review_text,Nouns
6213,"I am big fan of one plus since beginning and do participate on oneplus community, really oneplus listen to user and deliver what they need. From latest technology to best looking flagship phone with pocket friendly. One plus 6 is best example of this.","example,community,technology,phone,flagship,fan,user,pocket"
8836,Good product,product
6840,Very good,
9226,Phone cracked near phone by on its own. Please don't buy this. It seems some problem with it. It's not a phuscial damage. I took care of it very well. But it cracked. Not sure. Please don't buy it,"phone,care,problem,damage"
5042,Best ever,
6129,best,
9423,"If your phone falls from a height of 1 ft, its display will definitely break.
Battery is very good. charges very fast.
Camera provides clear pictures.
Speed is superb, but when playing game u will experience a lag. Multi-tasking is amazing.
I can't stress enough on its durability. Be sure that your hands are sticky enough to hold this phone.","durability,spee,phone,height,task,hand,battery,lag,camera,display,game,picture,charge"
6652,Super,
7789,"Two day before, i found 2500 rs extra discount on regular exchange price. Today i not found it.","discount,day,price,today,exchange"
5334,"Best Android phone, it's better than iPhone x","iphone,phone"
4099,"In this price range only other phones look like op6 but actually there is a huge difference. Camera is ultimate, really fast, solid coz today in morning it fell from my second floor balcony on a solid concrete road but it is like a rock, only one scratch at an edge dats it. Take it or 6t no comparison with even 50k price of other brands","price,road,balcony,morn,phone,difference,today,edge,scratch,comparison,brand,rock,range,camera,floor"
2753,Product is good but no dual speakers that wrong but its okay phone is awesome superfast,"phone,speaker,product"
9294,Nice product,product
1828,"It is good  picture quality,  sound quality  and battery life.","quality,sound,life,picture,battery"
4789,Value for money. On time delivery.,"time,delivery,value,money"
3458,Good look and very nice to handle,look
9069,"Nice phone it is undoubtedly.and for the first time I satisfied with this smart phone I have ever used.about camera I expect little more then it as per it's pric range, but it is ok.m satisfied.","time,phone,camera,range"
558,Superb phone,phone
8720,"Everything is nice. Battery did not last long as expected. Everything else was good.
Personally, I did not liked the back of the phone tough I have option of back cover.","option,cover,back,phone,battery,everyth"
6802,Too good,
9579,Wow product:-):-):-):-),
1735,"Killer smartphone ever
No one beat this device","killer,device,smartphone,one"
777,Awesome phone,phone
721,"Picture quality is best as compare to other phone,sound quality and battery life is asking  good but","phone,life,sound,quality,battery,picture"
2314,All things r good just battery life can be better,"life,battery,thing"
5245,Soppppprrr phone,phone
8919,"OMG, this is the best phone i have in my while life. This is the first time in using a one plus product and I must say this is a good value for money. Most of the people go behind the iPhone x which I think is really over priced. OP6 is faster than iPhone and it had been ptoven. The best part is that it is not even half the price of the iPhone x. The camera is also really good, although not as good as the pixel or the iPhone, it captures details very well. before this, I had an iPhone 5s and I'm a big fan of pubg but I couldn't enjoy myself with such a small screen. But OP6 even has a gaming mode along with a bigger screen which is really helpful for me. Go for it!","detail,price,value,pubg,mode,phone,life,part,iphone,pixel,omg,fan,money,camera,person,time,game,product,screen"
3414,Face lock,"lock,face"
4339,Good phone,phone
6811,Nil,
4545,"Nice product
Value for money","product,value,money"
10402,If you have 35k budget dont think twice. Go for it. In my experience 10/10 rating.,"experience,rat,budget"
4071,"The best in the market for quality, performance and cost.
A must have product in android mobiles.","cost,mobile,performance,market,quality,product"
